10:26:13.899 [sandbox-akka.actor.default-dispatcher-7] WARN  akka.actor.CoordinatedShutdown - Could not addJvmShutdownHook, due to: Shutdown in progress akkaAddress=akka://sandbox, sourceThread=pool-1-thread-2, akkaSource=CoordinatedShutdown(akka://sandbox), sourceActorSystem=sandbox, akkaTimestamp=07:26:13.878UTC
10:27:33.698 [main] INFO  ROOT - Sandbox verbosity changed to INFO 
10:27:34.176 [sandbox-akka.actor.default-dispatcher-5] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started 
10:27:35.307 [sandbox-akka.actor.default-dispatcher-5] INFO  c.d.platform.apiserver.ApiServices - DAML LF Engine supports LF versions: 0, 0.dev, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.dev; Transaction versions: 1, 2, 3, 4, 5, 6, 7, 8, 9; Value versions: 1, 2, 3, 4, 5, 6, 7 (context: {participantId=sandbox-participant}) 
10:27:35.628 [sandbox-akka.actor.default-dispatcher-5] INFO  c.d.p.apiserver.LedgerApiServer - Listening on localhost:6865 over plain text. (context: {participantId=sandbox-participant}) 
10:27:35.636 [sandbox-akka.actor.default-dispatcher-5] INFO  c.d.platform.sandbox.SandboxServer - Initialized sandbox version 100.13.54 with ledger-id = sandbox-53fa8173-d292-4231-a042-2ca1f82c9bd7, port = 6865, dar file = List(.daml/dist/FabCar-1.0.0.dar), time mode = static time, ledger = in-memory, auth-service = AuthServiceWildcard$ 
10:29:17.765 [sandbox-akka.actor.default-dispatcher-10] INFO  c.d.p.a.services.tracking.TrackerMap - Registered tracker for submitter Key(DAZL-Client,User1) (context: {participantId=sandbox-participant}) 
10:33:03.285 [sandbox-akka.actor.default-dispatcher-14] INFO  c.d.p.a.services.ApiCommandService - Shutting down Command Service (context: {participantId=sandbox-participant}) 
10:33:03.285 [sandbox-akka.actor.default-dispatcher-14] INFO  c.d.p.a.services.tracking.TrackerMap - Shutting down 1 trackers (context: {participantId=sandbox-participant}) 
10:33:03.696 [sandbox-akka.actor.default-dispatcher-14] WARN  akka.actor.CoordinatedShutdown - Could not addJvmShutdownHook, due to: Shutdown in progress akkaAddress=akka://sandbox, sourceThread=pool-1-thread-4, akkaSource=CoordinatedShutdown(akka://sandbox), sourceActorSystem=sandbox, akkaTimestamp=07:33:03.694UTC
16:29:26.222 [main] INFO  ROOT - Sandbox verbosity changed to INFO 
16:29:26.911 [sandbox-akka.actor.default-dispatcher-5] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started 
16:29:28.374 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.platform.apiserver.ApiServices - DAML LF Engine supports LF versions: 0, 0.dev, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.dev; Transaction versions: 1, 2, 3, 4, 5, 6, 7, 8, 9; Value versions: 1, 2, 3, 4, 5, 6, 7 (context: {participantId=sandbox-participant}) 
16:29:28.888 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.p.apiserver.LedgerApiServer - Listening on localhost:6865 over plain text. (context: {participantId=sandbox-participant}) 
16:29:28.896 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.platform.sandbox.SandboxServer - Initialized sandbox version 100.13.54 with ledger-id = sandbox-4abb2e81-24bf-481e-8b9c-705bc822cb03, port = 6865, dar file = List(.daml/dist/FabCar-1.0.0.dar), time mode = static time, ledger = in-memory, auth-service = AuthServiceWildcard$ 
09:26:01.820 [sandbox-akka.actor.default-dispatcher-5] INFO  c.d.p.a.services.ApiCommandService - Shutting down Command Service (context: {participantId=sandbox-participant}) 
09:26:01.821 [sandbox-akka.actor.default-dispatcher-5] INFO  c.d.p.a.services.tracking.TrackerMap - Shutting down 0 trackers (context: {participantId=sandbox-participant}) 
09:26:02.215 [sandbox-akka.actor.default-dispatcher-5] WARN  akka.actor.CoordinatedShutdown - Could not addJvmShutdownHook, due to: Shutdown in progress akkaAddress=akka://sandbox, sourceThread=pool-1-thread-5, akkaSource=CoordinatedShutdown(akka://sandbox), sourceActorSystem=sandbox, akkaTimestamp=06:26:02.214UTC
22:00:29.468 [main] INFO  ROOT - Sandbox verbosity changed to INFO 
22:00:30.012 [sandbox-akka.actor.default-dispatcher-6] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started 
22:00:31.344 [sandbox-akka.actor.default-dispatcher-7] INFO  c.d.platform.apiserver.ApiServices - DAML LF Engine supports LF versions: 0, 0.dev, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.dev; Transaction versions: 1, 2, 3, 4, 5, 6, 7, 8, 9; Value versions: 1, 2, 3, 4, 5, 6, 7 (context: {participantId=sandbox-participant}) 
22:00:31.692 [sandbox-akka.actor.default-dispatcher-7] INFO  c.d.p.apiserver.LedgerApiServer - Listening on localhost:6865 over plain text. (context: {participantId=sandbox-participant}) 
22:00:31.701 [sandbox-akka.actor.default-dispatcher-7] INFO  c.d.platform.sandbox.SandboxServer - Initialized sandbox version 100.13.54 with ledger-id = sandbox-6d5c92b5-7951-4eb3-b21f-60aa83df54ab, port = 6865, dar file = List(.daml/dist/FabCar-1.0.0.dar), time mode = static time, ledger = in-memory, auth-service = AuthServiceWildcard$ 
22:01:30.337 [sandbox-akka.actor.default-dispatcher-10] INFO  c.d.p.a.services.tracking.TrackerMap - Registered tracker for submitter Key(DAZL-Client,Admin) (context: {participantId=sandbox-participant}) 
22:16:58.641 [sandbox-akka.actor.default-dispatcher-11] INFO  c.d.p.a.services.ApiCommandService - Shutting down Command Service (context: {participantId=sandbox-participant}) 
22:16:58.642 [sandbox-akka.actor.default-dispatcher-11] INFO  c.d.p.a.services.tracking.TrackerMap - Shutting down 1 trackers (context: {participantId=sandbox-participant}) 
22:16:59.029 [sandbox-akka.actor.default-dispatcher-10] WARN  akka.actor.CoordinatedShutdown - Could not addJvmShutdownHook, due to: Shutdown in progress akkaAddress=akka://sandbox, sourceThread=pool-1-thread-6, akkaSource=CoordinatedShutdown(akka://sandbox), sourceActorSystem=sandbox, akkaTimestamp=19:16:59.024UTC
